feature,combined_score,rank,f_classif_score,t_test_score,mutual_info_score
mel_std,0.2999999998946279,1,0.0,0.0,0.9999999996487596
mfcc_13_std,0.25818567744522325,2,0.0,0.0,0.8606189248174109
voiced_ratio,0.2498228129553425,3,0.0,0.0,0.8327427098511417
mfcc_delta2_10_std,0.2330970839755808,4,0.0,0.0,0.7769902799186027
mfcc_12_max,0.19964562601605726,5,0.0,0.0,0.6654854200535242
mfcc_4_max,0.19964562601605726,6,0.0,0.0,0.6654854200535242
mfcc_4_mean,0.19128276152617626,7,0.0,0.0,0.6376092050872543
mfcc_12_mean,0.19128276152617604,8,0.0,0.0,0.6376092050872535
std_amplitude,0.18710132928123585,9,0.0,0.0,0.6236710976041195
mfcc_8_min,0.1829198970362953,10,0.0,0.0,0.6097329901209844
mfcc_11_min,0.178738464791355,11,0.0,0.0,0.59579488263785
mfcc_delta2_10_mean,0.170375600301474,12,0.0,0.0,0.5679186676715801
mel_mean,0.16452159515855755,13,0.0,0.0,0.5484053171951918
mean_amplitude,0.15783130356665262,14,0.0,0.0,0.5261043452221754
mfcc_11_max,0.1578313035666525,15,0.0,0.0,0.5261043452221751
mfcc_delta_4_std,0.1536498713217123,16,0.0,0.0,0.512166237739041
rms_energy,0.14946843907677188,17,0.0,0.0,0.4982281302559063
mfcc_delta2_6_std,0.14528700683183132,18,0.0,0.0,0.4842900227727711
mfcc_1_min,0.14110557458689113,19,0.0,0.0,0.47035191528963716
zcr_mean,0.1411055745868909,20,0.0,0.0,0.4703519152896364
mfcc_delta_13_mean,0.13274271009701005,21,0.0,0.0,0.44247570032336686
energy_mean,0.13107013719903388,22,0.0,0.0,0.43690045733011296
mfcc_1_mean,0.12856127785206986,23,0.0,0.0,0.42853759284023285
mfcc_delta_11_mean,0.12019841336218876,24,0.0,0.0,0.40066137787396255
energy_min,0.11601698111724834,25,0.0,0.0,0.3867232703908278
mfcc_12_min,0.11601698111724834,26,0.0,0.0,0.3867232703908278
mfcc_7_std,0.1160169811172481,27,0.0,0.0,0.38672327039082705
f0_min,0.08699241827750091,28,0.0,0.0,0.2899747275916697
mfcc_13_min,0.07002122642290362,29,0.0,0.0,0.2334040880763454
mfcc_delta_7_mean,0.07002122642290362,30,0.0,0.0,0.2334040880763454
mel_min,0.05741719494172578,31,0.0,0.0,0.1913906498057526
mfcc_delta2_2_mean,0.05680118907254126,32,0.0,0.0,0.18933729690847087
mfcc_delta2_4_mean,0.03975381145855313,33,0.0,0.0,0.13251270486184377
f0_mean,0.03907862781034399,35,0.0,0.0,0.13026209270114664
jitter_approx,0.03907862781034399,34,0.0,0.0,0.13026209270114664
mfcc_10_std,0.03907862781034399,36,0.0,0.0,0.13026209270114664
mfcc_delta2_12_std,0.032328601472082975,37,0.0,0.0,0.10776200490694327
mfcc_4_min,0.03071576332046313,38,0.0,0.0,0.1023858777348771
mfcc_delta2_5_std,0.02904319042248696,39,0.0,0.0,0.0968106347416232
mfcc_12_std,0.027729026002648503,40,0.0,0.0,0.09243008667549502
mfcc_delta_6_std,0.02402547172855868,41,0.0,0.0,0.08008490576186227
mfcc_delta_8_mean,0.023965736982202352,42,0.0,0.0,0.07988578994067451
mfcc_delta_13_std,0.022571926233889036,43,0.0,0.0,0.07523975411296345
mfcc_5_max,0.020680325932606335,44,0.0,0.0,0.06893441977535446
mfcc_delta_2_std,0.018888283541917277,45,0.0,0.0,0.06296094513972426
mfcc_delta2_1_mean,0.018390493988948372,46,0.0,0.0,0.061301646629827906
mfcc_delta2_12_mean,0.01697071981185188,47,0.0,0.0,0.05656906603950627
mel_max,0.01231746144272548,48,0.0,0.0,0.04105820480908493
mfcc_delta_10_std,0.008434702929566443,49,0.0,0.0,0.028115676431888146
mfcc_delta_12_std,0.008295321854735018,50,0.0,0.0,0.027651072849116727
mfcc_6_min,0.0074304212090659265,51,0.0,0.0,0.024768070696886423
mfcc_delta2_13_mean,0.005673516904469074,52,0.0,0.0,0.018911723014896915
mfcc_5_min,0.0031183105038565372,53,0.0,0.0,0.010394368346188457
mfcc_delta_6_mean,0.003058575757500212,54,0.0,0.0,0.010195252525000706
mfcc_10_max,0.0025088593469649594,55,0.0,0.0,0.008362864489883198
mfcc_delta_9_std,0.0009678596350299974,56,0.0,0.0,0.0032261987834333247
mfcc_6_max,0.00010560975725850605,57,0.0,0.0,0.0003520325241950202
max_amplitude,0.0,138,0.0,0.0,0.0
zcr_std,0.0,137,0.0,0.0,0.0
energy_max,0.0,133,0.0,0.0,0.0
energy_std,0.0,132,0.0,0.0,0.0
min_amplitude,0.0,139,0.0,0.0,0.0
mfcc_3_max,0.0,120,0.0,0.0,0.0
mfcc_7_mean,0.0,115,0.0,0.0,0.0
mfcc_6_std,0.0,110,0.0,0.0,0.0
mfcc_6_mean,0.0,111,0.0,0.0,0.0
mfcc_2_min,0.0,118,0.0,0.0,0.0
mfcc_3_std,0.0,121,0.0,0.0,0.0
mfcc_3_mean,0.0,119,0.0,0.0,0.0
spectral_centroid,0.0,130,0.0,0.0,0.0
signal_length,0.0,134,0.0,0.0,0.0
spectral_bandwidth,0.0,136,0.0,0.0,0.0
spectral_rolloff,0.0,131,0.0,0.0,0.0
spectral_flatness,0.0,124,0.0,0.0,0.0
duration,0.0,135,0.0,0.0,0.0
mfcc_delta_2_mean,0.0,82,0.0,0.0,0.0
mfcc_delta2_1_std,0.0,83,0.0,0.0,0.0
mfcc_delta_1_mean,0.0,79,0.0,0.0,0.0
mfcc_delta_1_std,0.0,78,0.0,0.0,0.0
mfcc_13_max,0.0,77,0.0,0.0,0.0
mfcc_13_mean,0.0,76,0.0,0.0,0.0
mfcc_8_mean,0.0,113,0.0,0.0,0.0
mfcc_7_min,0.0,112,0.0,0.0,0.0
mfcc_9_std,0.0,101,0.0,0.0,0.0
mfcc_9_mean,0.0,100,0.0,0.0,0.0
mfcc_9_min,0.0,103,0.0,0.0,0.0
mfcc_9_max,0.0,102,0.0,0.0,0.0
mfcc_10_mean,0.0,104,0.0,0.0,0.0
mfcc_10_min,0.0,106,0.0,0.0,0.0
mfcc_11_mean,0.0,107,0.0,0.0,0.0
mfcc_11_std,0.0,105,0.0,0.0,0.0
mfcc_7_max,0.0,114,0.0,0.0,0.0
mfcc_8_std,0.0,116,0.0,0.0,0.0
mfcc_8_max,0.0,117,0.0,0.0,0.0
mfcc_2_max,0.0,128,0.0,0.0,0.0
mfcc_2_std,0.0,129,0.0,0.0,0.0
mfcc_2_mean,0.0,127,0.0,0.0,0.0
mfcc_1_max,0.0,126,0.0,0.0,0.0
mfcc_1_std,0.0,125,0.0,0.0,0.0
mfcc_5_std,0.0,109,0.0,0.0,0.0
mfcc_5_mean,0.0,108,0.0,0.0,0.0
mfcc_3_min,0.0,123,0.0,0.0,0.0
mfcc_4_std,0.0,122,0.0,0.0,0.0
mfcc_delta_4_mean,0.0,90,0.0,0.0,0.0
mfcc_delta2_3_std,0.0,91,0.0,0.0,0.0
mfcc_delta_3_mean,0.0,81,0.0,0.0,0.0
mfcc_delta2_3_mean,0.0,85,0.0,0.0,0.0
mfcc_delta_10_mean,0.0,66,0.0,0.0,0.0
mfcc_delta2_9_std,0.0,67,0.0,0.0,0.0
mfcc_delta2_9_mean,0.0,72,0.0,0.0,0.0
mfcc_delta_9_mean,0.0,65,0.0,0.0,0.0
mfcc_delta2_8_mean,0.0,70,0.0,0.0,0.0
mfcc_delta2_8_std,0.0,71,0.0,0.0,0.0
mfcc_delta2_7_std,0.0,68,0.0,0.0,0.0
mfcc_delta_8_std,0.0,69,0.0,0.0,0.0
mfcc_delta2_6_mean,0.0,93,0.0,0.0,0.0
mfcc_delta_7_std,0.0,92,0.0,0.0,0.0
mfcc_delta2_7_mean,0.0,94,0.0,0.0,0.0
mfcc_delta_3_std,0.0,84,0.0,0.0,0.0
mfcc_delta_5_std,0.0,87,0.0,0.0,0.0
mfcc_delta_5_mean,0.0,89,0.0,0.0,0.0
mfcc_delta2_4_std,0.0,88,0.0,0.0,0.0
mfcc_delta2_5_mean,0.0,86,0.0,0.0,0.0
mfcc_delta2_2_std,0.0,80,0.0,0.0,0.0
mfcc_delta2_13_std,0.0,95,0.0,0.0,0.0
mfcc_delta2_11_std,0.0,73,0.0,0.0,0.0
mfcc_delta_12_mean,0.0,75,0.0,0.0,0.0
mfcc_delta_11_std,0.0,99,0.0,0.0,0.0
mfcc_delta2_11_mean,0.0,98,0.0,0.0,0.0
chroma_mean,0.0,96,0.0,0.0,0.0
chroma_std,0.0,97,0.0,0.0,0.0
tonnetz_std,0.0,62,0.0,0.0,0.0
tonnetz_mean,0.0,61,0.0,0.0,0.0
contrast_std,0.0,60,0.0,0.0,0.0
contrast_mean,0.0,74,0.0,0.0,0.0
f0_max,0.0,59,0.0,0.0,0.0
f0_std,0.0,63,0.0,0.0,0.0
f0_range,0.0,64,0.0,0.0,0.0
hnr_approx,0.0,58,0.0,0.0,0.0
